train_stories,order,bits_per_byte,mean_semantic_coverage,ending_accuracy,ending_structured_accuracy,numeric_parameters,symbolic_records,train_seconds,eval_seconds
500,1,4.393954134098239,0.7498914522366348,0.5266666666666666,0.5266666666666666,2449,2374,0.18564351499981058,0.5876832210001339
500,2,3.3186463269963324,0.7498914522366348,0.5333333333333333,0.5266666666666666,24824,2374,0.25640436999992744,0.7167203600001812
500,4,2.0963038543877297,0.7498914522366348,0.5066666666666667,0.5066666666666667,91018,2374,0.3259614319999855,0.8047710209998513
2000,1,4.393102100406003,0.7498914522366348,0.5266666666666666,0.5266666666666666,4501,4414,0.7823068490001788,0.5845018630002414
2000,2,3.3116633854885453,0.7498914522366348,0.5133333333333333,0.5133333333333333,65846,4414,1.0981954399999267,0.7249631289996614
2000,4,1.9178069489025196,0.7498914522366348,0.52,0.52,296875,4414,1.5077279950000957,0.8304371130002437
3956,1,4.393068742322604,0.7498914522366348,0.5266666666666666,0.5266666666666666,5614,5524,1.5013162560003366,0.573392449000039
3956,2,3.3103383872365244,0.7498914522366348,0.5133333333333333,0.5133333333333333,99878,5524,2.1155564450000384,0.7381985729998632
3956,4,1.881587191059377,0.7498914522366348,0.5066666666666667,0.5066666666666667,515018,5524,3.205369411999982,0.89896494300001
